FU Tau,1.0,140.00,b,800.000000,,,,,,,,,,,,,,,,,,,,,,,,,,
G 9-40,1.0,27.93,b,0.038500,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 1061,3.0,3.67,b,0.021000,c,0.035000,d,0.054000,,,,,,,,,,,,,,,,,,,,,,
GJ 1132,2.0,12.62,b,0.015300,c,0.047600,,,,,,,,,,,,,,,,,,,,,,,,
GJ 1148,2.0,11.02,b,0.166000,c,0.912000,,,,,,,,,,,,,,,,,,,,,,,,
GJ 1214,1.0,14.65,b,0.014110,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 1252,1.0,20.38,b,0.009160,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 1265,1.0,10.26,b,0.026000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 143,2.0,16.33,b,0.191500,c,0.069500,,,,,,,,,,,,,,,,,,,,,,,,
GJ 160.2,1.0,25.88,b,0.053000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 163,3.0,15.14,b,0.060700,c,0.125400,d,1.030400,,,,,,,,,,,,,,,,,,,,,,
GJ 179,1.0,12.36,b,2.410000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 180,3.0,11.94,b,0.092000,c,0.129000,d,0.309000,,,,,,,,,,,,,,,,,,,,,,
GJ 27.1,1.0,23.62,b,0.101000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 273,2.0,3.80,b,0.091101,c,0.036467,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3082,1.0,16.63,b,0.079000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3138,3.0,28.49,b,0.019700,c,0.057000,d,0.698000,,,,,,,,,,,,,,,,,,,,,,
GJ 317,2.0,15.10,b,1.150000,c,25.000000,,,,,,,,,,,,,,,,,,,,,,,,
GJ 328,1.0,20.54,b,4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3293,4.0,20.20,b,0.143390,c,0.361750,d,0.193940,e,0.082080,,,,,,,,,,,,,,,,,,,,
GJ 3323,2.0,5.32,b,0.032820,c,0.126400,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3341,1.0,23.16,b,0.089000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3470,1.0,29.45,b,0.035500,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3512,1.0,9.49,b,0.338000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 357,3.0,9.44,b,0.035000,c,0.061000,d,0.204000,,,,,,,,,,,,,,,,,,,,,,
GJ 3634,1.0,19.80,b,0.028700,,,,,,,,,,,,,,,,,,,,,,,,,,
